,Disease,Symptoms
0,Aarskog syndrome,"Belly button that sticks out, Bulge in the groin or scrotum, Delayed sexual maturity, Delayed teeth, Downward palpebral slant to eyes , Hairline with a ""widow's peak"", Mildly sunken chest (pectus excavatum), Mild to moderate cognitive problems, Mild to moderate short height, Poorly developed middle section of the face, Short fingers and toes with mild webbing, Single crease in the palm of the hand, Small nose with nostrils tipped forward, Testicles that have not come down (undescended), Top portion of the ear folded over slightly, Wide-set eyes with droopy eyelids"
1,Aase syndrome,"Wide-set eyes with droopy eyelids, Absent or small knuckles, Cleft palate, Deformed ears, Inability to fully extend the joints from birth, Narrow shoulders, Pale skin, Triple-jointed thumbs"
2,Abdominal aortic aneurysm,"Pain in the abdomen, Fainting/Drowsiness, Clammy skin, Nausea and vomiting, Rapid heart rate, Shock"
3,Abnormal uterine bleeding (AUB),"Bleeding or spotting from the vagina between periods, Periods that occur less than 28 days apart (more common) or more than 35 days apart, Time between periods changes each month, Heavier bleeding, Bleeding that lasts for more days than normal or for more than 7 days, Tenderness and dryness of the vagina, Hot flashes, Mood swings"
4,Acetaminophen and codeine overdose,"Fainting/Drowsiness, Clammy skin, Nausea and vomiting, Shallow breathing, Slow and labored breathing, Stopped breathing or respiratory arrest, Very small pupils, Low blood pressure, Coma (lack of responsiveness), Convulsions (seizures), Stupor (lack of alertness), Bluish skin(fingernails and lips), Spasms of the stomach and intestines, Liver failure, Kidney failure, Excessive sweating"
5,Acetone poisoning,"Pain in the abdomen, Fainting/Drowsiness, Nausea and vomiting, Low blood pressure, Coma (lack of responsiveness), Stupor (lack of alertness), Person may have a fruity odor, Sweet taste in mouth, Feeling of drunkenness, Lack of coordination, Difficulty breathing, Increased need to urinate"
6,Achalasia,"Backflow (regurgitation) of food, Chest pain, which may increase after eating, or may be felt as pain in the back, neck, and arms, Cough, Difficulty swallowing liquids and solids, Heartburn, Unintentional weight loss"
7,Achondrogenesis,"Very short trunk, arms, legs, and neck, Head appears large in relation to the trunk, Small lower jaw, Narrow chest"
8,Achondroplasia,"Unusually large head, Large forehead and flat bridge of the nose, Crowded or crooked teeth, Short stature (well below the average height for a person of the same age and sex), Average size trunk with short arms and legs (especially the upper arms and thighs), Bowed legs, Limited range of motion of the elbows, Spine curvatures called kyphosis and lordosis, Short fingers with an extra space between the ring and middle finger (trident hand), Decreased muscle tone in infants"
9,Acid soldering flux poisoning,"Pain in the abdomen, Nausea and vomiting, Shock, Kidney failure, Difficulty breathing, Loss of vision, Severe pain in the throat, Severe pain or burning in the nose, eyes, ears, lips, or tongue, Decreased urine output, Blood in the stool, Burns of the food pipe (esophagus), Vomiting blood, Irregular heart beat, Throat swelling, Holes in the skin or tissues under the skin"
